,htsc_code,time,frequency,open,close,high,low,volume,value
118,399852.SZ,2024-07-23 16:29:48,daily,4825.745,4694.9525,4825.745,4694.9525,12049520100.0,121481765801.7
119,000688.SH,2024-07-01 15:59:51,daily,711.6547,709.6032,714.1296,699.4157,1712869200.0,45399161827.0
120,000688.SH,2024-07-02 15:59:51,daily,709.1549,699.123,709.1718,697.5436,1450848900.0,39357461169.0
121,000688.SH,2024-07-03 15:59:51,daily,698.958,701.7847,707.3553,692.8089,1502222500.0,40225649261.0
122,000688.SH,2024-07-04 15:59:51,daily,702.0886,690.3758,704.7821,689.9207,1463298600.0,36345299723.0
123,000688.SH,2024-07-05 15:59:51,daily,688.5292,698.8491,699.9743,683.3956,1425473000.0,38188387582.0
124,000688.SH,2024-07-08 15:59:51,daily,700.0243,692.488,703.6287,689.8534,1513683100.0,39204287609.0
125,000688.SH,2024-07-09 15:59:51,daily,689.7864,709.8883,712.1906,689.4211,1899661000.0,49260748008.0
126,000688.SH,2024-07-10 15:59:51,daily,707.1942,710.3693,715.7116,706.793,1501936600.0,41921460199.0
127,000688.SH,2024-07-11 15:59:51,daily,722.0426,718.04,725.0175,712.0028,1843979600.0,51276562600.0
128,000688.SH,2024-07-12 15:59:50,daily,713.3117,718.3699,721.4609,711.1612,1512089000.0,42161527331.0
129,000688.SH,2024-07-15 15:59:51,daily,716.475,715.8636,720.423,712.7898,1415787400.0,41286233179.0
130,000688.SH,2024-07-16 15:59:51,daily,712.7582,732.0638,732.6853,711.7131,1554100500.0,49339979843.0
131,000688.SH,2024-07-17 15:59:51,daily,733.0729,729.0022,735.7127,729.0022,1519717700.0,46109582552.0
132,000688.SH,2024-07-18 15:59:51,daily,721.7649,735.4102,738.7302,718.5237,1776068500.0,52062451850.0
133,000688.SH,2024-07-19 15:59:51,daily,731.4085,749.4705,751.2023,731.3997,1892805300.0,57974835758.0
134,000688.SH,2024-07-22 15:59:51,daily,749.3161,752.0006,756.6829,747.3824,1702185400.0,52125186053.0
135,000688.SH,2024-07-23 15:59:50,daily,750.1285,721.1077,750.1285,720.8808,1626039900.0,48354138906.0
