,htsc_code,time,frequency,open,close,high,low,volume,value,open_interest,settle
119,CU2409.SHF,2024-06-27 15:18:18.000,daily,78620.0,77680.0,78620.0,77580.0,45576.0,17790866250.0,114584.0,78070.0
120,CU2409.SHF,2024-06-28 15:19:19.500,daily,78180.0,78560.0,78690.0,77800.0,52363.0,20490704900.0,117252.0,78260.0
121,CU2409.SHF,2024-07-01 15:19:25.000,daily,79000.0,78270.0,79200.0,78100.0,43921.0,17254534750.0,121035.0,78570.0
122,CU2409.SHF,2024-07-02 15:16:46.500,daily,78950.0,78940.0,79170.0,78690.0,42095.0,16615831700.0,125099.0,78940.0
123,CU2409.SHF,2024-07-03 15:15:29.000,daily,79400.0,79880.0,79910.0,78930.0,59072.0,23439506000.0,132971.0,79350.0
124,CU2409.SHF,2024-07-04 15:16:12.500,daily,80300.0,80130.0,80790.0,79960.0,59069.0,23731130250.0,138919.0,80350.0
125,CU2409.SHF,2024-07-05 15:19:34.500,daily,80540.0,80650.0,80860.0,80100.0,55492.0,22318472050.0,144484.0,80430.0
126,CU2409.SHF,2024-07-08 15:16:01.500,daily,81150.0,80160.0,81150.0,80000.0,67854.0,27352546500.0,149626.0,80620.0
127,CU2409.SHF,2024-07-09 15:13:24.000,daily,80720.0,80760.0,80890.0,80270.0,51857.0,20900025900.0,150466.0,80600.0
128,CU2409.SHF,2024-07-10 15:26:06.500,daily,80460.0,79820.0,80580.0,79680.0,62782.0,25151123200.0,152359.0,80120.0
129,CU2409.SHF,2024-07-11 15:19:09.500,daily,80150.0,80170.0,80530.0,80020.0,55459.0,22255721950.0,155355.0,80260.0
130,CU2409.SHF,2024-07-12 15:16:51.000,daily,80020.0,79120.0,80150.0,79020.0,75875.0,30140378750.0,159547.0,79440.0
131,CU2409.SHF,2024-07-15 15:51:00.500,daily,79620.0,79700.0,80420.0,79410.0,79730.0,31821653150.0,161890.0,79820.0
132,CU2409.SHF,2024-07-16 15:16:03.000,daily,79570.0,79470.0,79970.0,79320.0,55438.0,22059309450.0,162012.0,79580.0
133,CU2409.SHF,2024-07-17 15:15:24.000,daily,79000.0,78650.0,79090.0,78450.0,77882.0,30674603200.0,166372.0,78770.0
134,CU2409.SHF,2024-07-18 15:15:46.500,daily,78500.0,78580.0,78650.0,78130.0,74493.0,29190877200.0,168808.0,78370.0
135,CU2409.SHF,2024-07-19 15:15:48.500,daily,77310.0,76740.0,77460.0,76430.0,140717.0,54126961750.0,178819.0,76930.0
136,CU2409.SHF,2024-07-22 15:16:10.000,daily,76120.0,75760.0,76610.0,75680.0,127785.0,48698968950.0,184074.0,76220.0
137,CU2409.SHF,2024-07-23 15:15:11.500,daily,75390.0,74710.0,75990.0,74710.0,137159.0,51656957050.0,183487.0,75320.0
138,SC2409.INE,2024-05-06 15:29:24.500,daily,611.5,606.7,611.5,598.4,626.0,378518800.0,927.0,604.6
